국가,구분,일자,누적확진(명),신규확진(명),인구확진률(%),인구(명),누적사망(명),신규사망(명),사망률(%)
대한민국,일간,2022/08/09,20845973,151734,40.23,51815810,25382,50,0.12
대한민국,일간,2022/08/08,20694239,149819,39.94,51815810,25332,40,0.12
대한민국,일간,2022/08/07,20544420,55292,39.65,51815810,25292,29,0.12
대한민국,일간,2022/08/06,20489128,105507,39.54,51815810,25263,27,0.12
대한민국,일간,2022/08/05,20383621,110610,39.34,51815810,25236,45,0.12
대한민국,일간,2022/08/04,20273011,112857,39.13,51815810,25191,47,0.12
대한민국,일간,2022/08/03,20160154,107849,38.91,51815810,25144,34,0.12
대한민국,일간,2022/08/02,20052305,119866,38.70,51815810,25110,26,0.13
대한민국,일간,2022/08/01,19932439,111700,38.47,51815810,25084,16,0.13
대한민국,일간,2022/07/31,19820739,44689,38.25,51815810,25068,21,0.13
대한민국,일간,2022/07/30,19776050,73589,38.17,51815810,25047,20,0.13
대한민국,일간,2022/07/29,19702461,81944,38.02,51815810,25027,35,0.13
대한민국,일간,2022/07/28,19620517,85275,37.87,51815810,24992,35,0.13
대한민국,일간,2022/07/27,19535242,88296,37.70,51815810,24957,25,0.13
대한민국,일간,2022/07/26,19446946,100182,37.53,51815810,24932,25,0.13
대한민국,일간,2022/07/25,19346764,99268,37.34,51815810,24907,17,0.13
대한민국,일간,2022/07/24,19247496,35883,37.15,51815810,24890,17,0.13
대한민국,일간,2022/07/23,19211613,65433,37.08,51815810,24873,18,0.13
대한민국,일간,2022/07/22,19146180,68521,36.95,51815810,24855,30,0.13
대한민국,일간,2022/07/21,19077659,68579,36.82,51815810,24825,31,0.13
대한민국,일간,2022/07/20,19009080,71109,36.69,51815810,24794,17,0.13
대한민국,일간,2022/07/19,18937971,76378,36.55,51815810,24777,12,0.13
대한민국,일간,2022/07/18,18861593,73537,36.40,51815810,24765,12,0.13
대한민국,일간,2022/07/17,18788056,26299,36.26,51815810,24753,11,0.13
대한민국,일간,2022/07/16,18761757,40342,36.21,51815810,24742,14,0.13
대한민국,일간,2022/07/15,18721415,41273,36.13,51815810,24728,16,0.13
